objectid,joinid,permyear,county,jurisdictn,apn,address,zip,projname,hcategory,vlowdr,vlowndr,vlowtot,lowdr,lowndr,lowtot,moddr,modndr,modtot,amodtot,totalunit,tenure,mapped,mapnotes,pda,pdacycle,pdajoinid,tpa,tpacycle,hsngsite,rhnacycle,notes,ObjectId2
,657cd636-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,5600 Pandorea Terrace,94560,"D.R. Horton Bay, Inc",5+,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,Y,2015-2023,NULL,24
,319de5bc-74e4-11e8-adc0-fa7ae01bbebc,2017,6001,Berkeley,053 162601800,1211 HASKELL St,NULL,NULL,SU,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,Y,2017,N,,NULL,25
,657cd87a-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,5616 Pandorea Terrace,94560,"D.R. Horton Bay, Inc",5+,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,Y,2015-2023,NULL,26
,6d976e82-726c-11e8-adc0-fa7ae01bbebc,2017,6001,Dublin,NULL,7133 KYLEMORE CIR,94568,ENCLAVE @ TASSAJARA HIGHLANDS,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,Y,2015-2023,NULL,27
,54be2a16-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,37907 Harbor Light Road,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,28
,319de6f2-74e4-11e8-adc0-fa7ae01bbebc,2017,6001,Berkeley,061 257401000,1949 MARIN Ave,NULL,NULL,SU,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,Y,2017,N,,NULL,29
,6d977062-726c-11e8-adc0-fa7ae01bbebc,2017,6001,Dublin,NULL,7008 KYLEMORE CIR,94568,ENCLAVE @ TASSAJARA HIGHLANDS,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,Y,2015-2023,NULL,30
,657cdabe-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,5634 Pandorea Terrace,94560,"D.R. Horton Bay, Inc",5+,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,Y,2015-2023,NULL,31
,319de828-74e4-11e8-adc0-fa7ae01bbebc,2017,6001,Berkeley,060 239105701,1365 CURTIS St,NULL,NULL,SU,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,N,,NULL,32
,657ce0a4-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,38958 Primula Terrace,94560,"D.R. Horton Bay, Inc",5+,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,Y,2015-2023,NULL,33
,6d977666-726c-11e8-adc0-fa7ae01bbebc,2017,6001,Dublin,NULL,7012 KYLEMORE CIR,94568,ENCLAVE @ TASSAJARA HIGHLANDS,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,Y,2015-2023,NULL,34
,54be2bc4-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,37895 Harbor Light Road,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,35
,6d97cbf2-726c-11e8-adc0-fa7ae01bbebc,2017,6001,Dublin,NULL,7001 KYLEMORE CIR,94568,ENCLAVE @ TASSAJARA HIGHLANDS,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,Y,2015-2023,NULL,36
,54bdcfbc-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,36173 Windwood Lane,94560,Classic Communities,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,Y,2015-2023,NULL,37
,657c4464-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8552 Dunes Way,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,Mapped by hand,Y,2017,NEW1,N,,Y,2015-2023,NULL,38
,319d843c-74e4-11e8-adc0-fa7ae01bbebc,2017,6001,Berkeley,063 299300802,1234 GRIZZLY PEAK BLVD,NULL,NULL,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,N,,NULL,39
,319d86e4-74e4-11e8-adc0-fa7ae01bbebc,2017,6001,Berkeley,063 315008700,1120 WOODSIDE Rd,NULL,NULL,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,N,,NULL,40
,319d8a0e-74e4-11e8-adc0-fa7ae01bbebc,2017,6001,Berkeley,053 167102600,1522 Stuart St,NULL,NULL,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,N,,NULL,41
,319d8b6c-74e4-11e8-adc0-fa7ae01bbebc,2017,6001,Berkeley,058 212701900,1737 TENTH St,NULL,NULL,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,Y,2017,N,,NULL,42
,319d8f04-74e4-11e8-adc0-fa7ae01bbebc,2017,6001,Berkeley,061 256202001,2075 EUNICE St,NULL,NULL,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,Y,2017,N,,NULL,43
,319d904e-74e4-11e8-adc0-fa7ae01bbebc,2017,6001,Berkeley,060 249301501,1352 SUMMIT RD,NULL,NULL,SU,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,N,,NULL,44
,319d917a-74e4-11e8-adc0-fa7ae01bbebc,2017,6001,Berkeley,064 425000700,52 THE UPLANDS,NULL,NULL,SU,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,N,,NULL,45
,319d92a6-74e4-11e8-adc0-fa7ae01bbebc,2017,6001,Berkeley,052 156403400,3011 COLLEGE Ave,NULL,NULL,SU,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,Y,2017,N,,NULL,46
,319d93d2-74e4-11e8-adc0-fa7ae01bbebc,2017,6001,Berkeley,056 192500400,1216 BANCROFT Way,NULL,NULL,SU,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,Y,2017,N,,NULL,47
,319d9508-74e4-11e8-adc0-fa7ae01bbebc,2017,6001,Berkeley,056 191906300,2425 EDWARDS St,NULL,NULL,SU,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,N,,NULL,48
,319d983c-74e4-11e8-adc0-fa7ae01bbebc,2017,6001,Berkeley,054 178502300,1122 PARKER St,NULL,NULL,SU,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,Y,2017,N,,NULL,49
,319d9990-74e4-11e8-adc0-fa7ae01bbebc,2017,6001,Berkeley,053 168802800,2224 STUART St,NULL,NULL,SU,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,Y,2017,N,,NULL,50
,319d9ac6-74e4-11e8-adc0-fa7ae01bbebc,2017,6001,Berkeley,052 157702800,2300 ASHBY Ave,NULL,NULL,SU,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,Y,2017,N,,NULL,51
,319d9d50-74e4-11e8-adc0-fa7ae01bbebc,2017,6001,Berkeley,056 201202300,2135 ROOSEVELT Ave,NULL,NULL,SU,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,Y,2017,N,,NULL,52
