Jurisdiction Name,Site Address/Intersection,5 Digit ZIP Code,Assessor Parcel Number,Consolidated Sites,General Plan Designation (Current),Zoning Designation (Current),Minimum Density Allowed (units/acre),Max Density Allowed (units/acre),Parcel Size (Acres),Existing Use/Vacancy,Infrastructure,Publicly-Owned,Site Status,Identified in Last/Last Two Planning Cycle(s),Lower Income Capacity,Moderate Income Capacity,Above Moderate Income Capacity,Total Capacity,Optional Information 1,Optional Information 2,Optional Information 3,
MOUNTAIN VIEW,286 W EL CAMINO REAL,94040-2606,15805113,Not Applicable,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,41-50,0.43,one-story single tenant restaurant - FAR: 0.146; Year Built: 1980,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,16,0,16,Opportunity Site ,Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,624  WEL CAMINO REAL,94040-2508,15806006,Not Applicable,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,41-50,0.28,"one-story vacant, single tenant car service building  - FAR: 0.159; Year Built: 1958; building is not well maintained/ boarded up windows",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,10,0,10,Opportunity Site ,Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,S OAK ST,94041,15807007,D,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.10,parking lot for medical office at 1128 W El Camino Real - FAR: Not Applicable; Year Built: Not Applicable,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,6,0,0,6,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,1128 W EL CAMINO REAL,94040-2518,15807025,D,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.42,one-story single tenant medical office - FAR: 0.285; Year Built: 1945,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,25,0,0,25,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,1134 W EL CAMINO REAL,94040-2518,15807026,D,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.64,two-story vacant offices - FAR: 0.154,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,38,0,0,38,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,785 CASTRO ST,94041-2013,15809009,Not Applicable,Downtown Mixed-Use,P(19) - Downtown Precise Plan,0,50,0.28,one-story vacant offices - FAR: 0.30; Year Built: 1970,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,6,0,6,Opportunity Site ,,,
MOUNTAIN VIEW,495 MOFFETT BL,94043-4727,15849002,Not Applicable,Mixed-Use Corridor,CRA,0,43,0.96,gas station  - FAR: 0.04; Year Built: 1968,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,34,0,34,Opportunity Site ,,,
MOUNTAIN VIEW,282 E MIDDLEFIELD RD,94043-3910,16026007,Not Applicable,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~45,1.19,vacant; chain link fence surround the site; no site infrastructure or improvements is present,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,44,0,44,Opportunity Site ,Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,,
MOUNTAIN VIEW,N WHISMAN RD,94043,16028003,Not Applicable,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~45,0.50,Parking lot for fast food at 209 W Middlefield Road - FAR: 0; Year Built: Not Applicable (no building on site),Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,18,0,18,Opportunity Site ,Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,,
MOUNTAIN VIEW,209 E MIDDLEFIELD RD,94043-3909,16028004,Not Applicable,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~45,0.55,one-story single tenant fast food - FAR: 0.161; Year Built: 1984,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,20,0,20,Opportunity Site ,Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,,
MOUNTAIN VIEW,295 E MIDDLEFIELD RD,94043-3909,16028005,Not Applicable,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~45,0.45,one-story single tenant restaurant/deli - FAR: 0.09; Year Built: 1980,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,17,0,17,Opportunity Site ,Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,,
MOUNTAIN VIEW,295 E MIDDLEFIELD RD,,16028006,Not Applicable,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~45,0.13,one-story single tenant restaurant/deli - FAR: 0.09; Year Built: 1980,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,4,0,4,Opportunity Site ,Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,,
MOUNTAIN VIEW,325 E MIDDLEFIELD RD,94043,16052010,Not Applicable,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~112,2.05,one-story light industrial - FAR: 0.373; Year Built: 1966,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,150,10,0,160,Opportunity Site ,Maximum Density set by FAR (2.5). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,,
MOUNTAIN VIEW,335 E MIDDLEFIELD RD,94043-4028,16052011,Not Applicable,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~112,0.93,one-story light industrial - FAR: 0.357; Year Built: 1982,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,72,0,0,72,Opportunity Site ,Maximum Density set by FAR (2.5). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,,
MOUNTAIN VIEW,345 E MIDDLEFIELD RD,94043-4067,16052012,Not Applicable,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~112,1.07,one-story light industrial - FAR: 0.339; Year Built: 1959,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,84,0,0,84,Opportunity Site ,Maximum Density set by FAR (2.5). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,,
MOUNTAIN VIEW,460 E MIDDLEFIELD RD,94043-4032,16053005,Not Applicable,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,147 - 169,1.27,one-story light industrial/service agency office - FAR: 0.333; Year Built: 1977,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,139,0,0,139,Opportunity Site ,Maximum Density set by FAR (3.5). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,450 E MIDDLEFIELD RD,94043-4006,16053006,Not Applicable,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,147 - 169,1.00,one-story light industrial - FAR: 0.307; Year Built: 1966,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,110,0,0,110,Opportunity Site ,Maximum Density set by FAR (3.5). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,475 ELLIS ST,94043-2203,16058011,Not Applicable,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~112,4.49,one-story light industrial - FAR: 0.335; Year Built: 1966,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,150,150,52,352,Opportunity Site ,Maximum Density set by FAR (2.5). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,,
MOUNTAIN VIEW,815 MAUDE AV,94043-4021,16059001,Not Applicable,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~112,0.93,one-story church office - FAR: 0.21; Year Built: 1962,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,72,0,0,72,Opportunity Site ,Maximum Density set by FAR (2.5). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,,
MOUNTAIN VIEW,835 MAUDE AV,94043-4021,16059002,Not Applicable,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~112,0.90,one-story light industrial office  - FAR: 0.381; Year Built: 1966,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,70,0,0,70,Opportunity Site ,Maximum Density set by FAR (2.5). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,,
MOUNTAIN VIEW,855 MAUDE AV,94043-4021,16059003,Not Applicable,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~112,0.97,one-story light industrial office  - FAR: 0.369; Year Built: 1966,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,76,0,0,76,Opportunity Site ,Maximum Density set by FAR (2.5). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,,
MOUNTAIN VIEW,875 MAUDE AV,94043-4021,16059004,Not Applicable,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,~112,0.96,one-story vacant light industrial office  - FAR: 0.39; Year Built: 1963,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,74,0,0,74,Opportunity Site ,Maximum Density set by FAR (2.5). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,,
MOUNTAIN VIEW,820 E EL CAMINO REAL,94040-2836,16110003,Not Applicable,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,1.37,"one story four-unit commercial (restaurant, beauty salon, chiropractors)  - FAR: 0.235; Year Built: 1971",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,82,0,0,82,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,1953 W EL CAMINO REAL,94040-2262,17005016,Not Applicable,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.46,one-story single tenant deli - FAR: 0.084; Year Built: 1970,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,27,0,27,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,2065 W EL CAMINO REAL,94040,17005026,Not Applicable,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,1.32,one-story single tenant daycare center - FAR: 0.248; Year Built: 1980,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,80,0,0,80,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,1901 W EL CAMINO REAL,94040-2216,17006006,Not Applicable,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,0.27,one-story single tenant rental car location  - FAR: 0.11; Year Built: 1958,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,16,0,16,Opportunity Site - El Camino Real,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac. Rezoning not necessary to meet RHNA.",
MOUNTAIN VIEW,910 EL MONTE AV,94040-2319,17006007,Not Applicable,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,1.10,one-story single tenant office supply store  - FAR: 0.424; Year Built: 1952; located in a high opportunity area and adjacent to existing residential,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,66,0,0,66,Opportunity Site - El Camino Real,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac. Rezoning not necessary to meet RHNA.",
MOUNTAIN VIEW,1949 W EL CAMINO REAL,94040-2216,17006058,G,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,0.32,"one-story multi-tenant retail (pet store, pool store, auto parts, shipping) - average FAR: 0.22 for 1949, 1921 and 1935 W El Camino Real; Year Built: 1984; part of a consolidated site with common ownership with potential to develop as one project; located in high opportunity area",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,4,0,4,Opportunity Site - El Camino Real,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac. Rezoning not necessary to meet RHNA.",
MOUNTAIN VIEW,1921 W EL CAMINO REAL,94040-2216,17006060,G,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,1.30,"one-story multi-tenant retail (pet store, pool store, auto parts, shipping) - average FAR: 0.22 for 1949, 1921 and 1935 W El Camino Real; Year Built: 1984; part of a consolidated site with common ownership with potential to develop as one project; located in high opportunity area",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,16,0,0,16,Opportunity Site - El Camino Real,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac. Rezoning not necessary to meet RHNA.",
MOUNTAIN VIEW,1935 W EL CAMINO REAL,94040-2216,17006062,G,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,1.66,"one-story multi-tenant retail (pet store, pool store, auto parts, shipping) - average FAR: 0.22 for 1949, 1921 and 1935 W El Camino Real; Year Built: 1984; part of a consolidated site with common ownership with potential to develop as one project; located in high opportunity area",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,20,0,0,20,Opportunity Site - El Camino Real,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac. Rezoning not necessary to meet RHNA.",
MOUNTAIN VIEW,1010 EL MONTE AV,94040-2321,17007067,Not Applicable,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,41-50,0.31,gas station  - FAR: 0.074; Year Built: 1955,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,12,0,12,Opportunity Site ,Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,810 MIRAMONTE AV,94040-2514,18902024,Not Applicable,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.32,one-story single tenant auto repair - FAR: 0.081; Year Built: 1963,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,19,0,19,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,1708 MIRAMONTE AV,94040-3763,18906096,Not Applicable,Neighborhood Mixed-Use,CN,0,~30,0.32,gas station  - FAR: 0.08; Year Built:1955,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,6,0,6,Opportunity Site - General Plan Village Center,,Rezoned to allow residential at approximately ~30 DU/ac. Rezoning not necessary to meet RHNA.,
MOUNTAIN VIEW,595 W EL CAMINO REAL,94040-2641,19303044,Not Applicable,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,41-50,0.40,one-story single tenant paint store  - FAR: 0.26; Year Built: 1981,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,15,0,15,Opportunity Site ,Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,215 W EL CAMINO REAL,94040-2605,19304006,Not Applicable,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,41-50,0.39,one-story single tenant tire store  - FAR: 0.077; Year Built: 1959,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,14,0,14,Opportunity Site ,Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,239 W EL CAMINO REAL,94040-2605,19304018,Not Applicable,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,41-50,0.28,one story single tenant liquor store  - FAR: 0.183; Year Built: 1971,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,10,0,10,Opportunity Site ,Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,1504 GRANT RD,94040-3214,19312001,Not Applicable,Mixed-Use Corridor,P(27) - Grant-Phyllis Precise Plan,0,~72,5.08,large multi-tenant shopping center with one-story buildings (grocery and various other retail uses) - FAR: 0.242; Year Built: 1973;  located in high opportunity area,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,51,0,0,51,Opportunity Site - General Plan Village Center,,Rezoned to allow residential at approximately ~72 DU/ac. Rezoning not necessary to meet RHNA.,
MOUNTAIN VIEW,975 BAY ST,94040-2626,19314001,Not Applicable,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,0.39,single tenant self car wash - FAR: 0.095; Year Built: 1965,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,23,0,23,Opportunity Site - El Camino Real,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac. Rezoning not necessary to meet RHNA.",
MOUNTAIN VIEW,1220 GRANT RD,94040-3227,19314011,Not Applicable,Mixed-Use Corridor,P(27) - Grant-Phyllis Precise Plan,0,~72,0.36,gas station  - FAR: 0.131; Year Built:1963,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,18,0,18,Opportunity Site - General Plan Village Center,,Rezoned to allow residential at approximately ~72 DU/ac. Rezoning not necessary to meet RHNA.,
MOUNTAIN VIEW,1250 Grant Road,94040-3227,19314012,Not Applicable,Mixed-Use Corridor,P(27) - Grant-Phyllis Precise Plan,0,~72,5.62,supermarket - FAR: 0.23; Year Built: 1971,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,150,103,0,253,Opportunity Site - General Plan Village Center,,Rezoned to allow residential at approximately ~72 DU/ac. Rezoning not necessary to meet RHNA.,
MOUNTAIN VIEW,101 E EL CAMINO REAL,94040-2701,19742003,Not Applicable,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,0.58,gas station  - FAR: 0.063; Year Built: 1967,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,35,0,35,Opportunity Site - El Camino Real,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac. Rezoning not necessary to meet RHNA.",
MOUNTAIN VIEW,121 E EL CAMINO REAL,94040-2701,19742004,Not Applicable,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,7.96,large multi-tenant shopping center with one-story buildings (pharmacy and various other retail uses) - FAR: 0.257; Year Built: 1966;  located in high opportunity area,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,96,0,0,96,Opportunity Site - El Camino Real,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac. Rezoning not necessary to meet RHNA.",
