Jurisdiction Name,Site Address/Intersection,5 Digit ZIP Code,Assessor Parcel Number,Consolidated Sites,General Plan Designation (Current),Zoning Designation (Current),Minimum Density Allowed (units/acre),Max Density Allowed (units/acre),Parcel Size (Acres),Existing Use/Vacancy,Infrastructure,Publicly-Owned,Site Status,Identified in Last/Last Two Planning Cycle(s),Lower Income Capacity,Moderate Income Capacity,Above Moderate Income Capacity,Total Capacity,Optional Information 1,Optional Information 2,Optional Information 3,
MOUNTAIN VIEW,110 N RENGSTORFF AV,94043-4222,14736025,Not Applicable,Neighborhood Mixed-Use,CN,0,~30,0.44,gas station  - FAR: 0.028; Year Built:1958,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,9,0,9,Opportunity Site - General Plan Village Center,,Rezoned to allow residential at approximately ~30 DU/ac. Rezoning not necessary to meet RHNA.,
MOUNTAIN VIEW,2312 ALMA ST,94043,14736037,Not Applicable,Neighborhood Mixed-Use,CN,0,~30,0.97,"one-story retail (salon, insurance, restaurants) - FAR: 0.211; Year Built:1960",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,20,0,20,Opportunity Site - General Plan Village Center,,Rezoned to allow residential at approximately ~30 DU/ac. Rezoning not necessary to meet RHNA.,
MOUNTAIN VIEW,112 N RENGSTORFF AV,94043-4222,14736038,Not Applicable,Neighborhood Mixed-Use,CN,0,~30,1.72,one-story restaurant and vacant fitness center - FAR: 0.268; Year Built:1960,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,36,0,36,Opportunity Site - General Plan Village Center,,Rezoned to allow residential at approximately ~30 DU/ac. Rezoning not necessary to meet RHNA.,
MOUNTAIN VIEW,298 SAN ANTONIO RD,94040-1212,14815017,Not Applicable,Mixed-Use Corridor,P(40) - San Antonio Precise Plan,0,63-89,0.53,one-story medical offices - FAR: 0.298; Year Built: 1965,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,32,0,32,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,2630 CALIFORNIA ST,94040-1206,14815018,Not Applicable,Mixed-Use Corridor,P(40) - San Antonio Precise Plan,0,63-89,1.05,"one-story retail (laundromat, convenance store, auto parts) - FAR: 0.193; Year Built: 1900",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,63,0,0,63,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,2633 CALIFORNIA ST,94040-1205,14815021,Not Applicable,Mixed-Use Corridor,P(40) - San Antonio Precise Plan,0,63-89,0.40,one-story single tenant restaurant  - FAR: 0.099; Year Built: 1964,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,24,0,24,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,384 SAN ANTONIO RD,94040-1214,14815022,Not Applicable,Mixed-Use Corridor,P(40) - San Antonio Precise Plan,0,63-89,0.98,one-story single tenant bank  - FAR: 0.252; Year Built: 1971,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,58,0,0,58,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,2690 W EL CAMINO REAL,94040-1117,14816001,E,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,1.03,"vacant, single tenant car wash  - FAR: 0.1; Year Built: 1962",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,62,0,0,62,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,2674 W EL CAMINO REAL,94040-1117,14816004,E,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.26,one-story single tenant service building (associated with adjacent closed car wash at 2690 W El Camino Real); Year Built: 1955,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,15,0,0,15,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,2630 W EL CAMINO REAL,94040-1117,14816012,A,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,1.79,one-story pharmacy that is part of a multi-tenant shopping center - average FAR: 0.15 for adjoining sites at 2630 W El Camino Real and Fayette Drive (APN 14816013); Year Built: 1972; part of a consolidated site with common ownership with potential to develop as one project,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,22,0,22,Opportunity Site - El Camino Real,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac. Rezoning not necessary to meet RHNA.",
