Jurisidiction,County,Reporting Year,Prior APN,APN,Address,Project Name,Jurisdiction Tracking ID,Unit Category,Tenure,Entitled Very Low Income Deed (Restricted),Entitled Very Low Income Non-Deed (Restricted),Entitled Low Income Deed (Restricted),Entitled Low Income Non-Deed (Restricted),Entitled Moderate Income Deed (Restricted),Entitled Moderate Income Non-Deed (Restricted),Entitled Above Moderate Income,Entitlement Date Approved,Total Units Entitled,Permitted Very Low Income Deed (Restricted),Permitted Very Low Income Non-Deed (Restricted),Permitted Low Income Deed (Restricted),Permitted Low Income Non-Deed (Restricted),Permitted Moderate Income Deed (Restricted),Permitted Moderate Income Non-Deed (Restricted),Permitted Above Moderate Income,Permit Date Issued,Total  Units Permitted,Completed Very Low Income Deed (Restricted),Completed Very Low Income Non-Deed (Restricted),Completed  Low Income Deed (Restricted),Completed Low Income Non-Deed (Restricted),Completed  Moderate Income Deed (Restricted),Completed Moderate Income Non-Deed (Restricted),Completed  Above Moderate Income,Completed Date,Total Units Completed,Total Extremely Low Income Units,SB 35 Approved?,Infill Unit?,Financial Assistance Program,Deed Restriction Type,Affordable Without Financial Assistance Notes,Years of Affordability,Demolished/Destroyed Units,Demolished or Destroyed?,Tenure Type of Demolished/Destroyed Unit,Notes
MOUNTAIN VIEW,SANTA CLARA,2018,153-04-001,153-04-001,"828-836 Sierra Vista Ave, 1975-1979 Colony St.",,PL-2017-244,Single-Family Attached Unit,Owner,1,0,0,0,0,0,14,10/16/18 0:00,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,DB,,55,5,Demolished,O,
MOUNTAIN VIEW,SANTA CLARA,2018,193-07-002,193-07-002,982 Bonita Ave.,,PL-2017-147,Single-Family Attached Unit,Owner,0,0,0,0,0,0,4,5/15/18 0:00,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,4,Demolished,R,
MOUNTAIN VIEW,SANTA CLARA,2018,"158-33-001, 158-34-002, 158-34-003, 158-34-004","158-33-001, 158-34-002, 158-34-003, 158-34-004",257 Calderon Ave.,,PL-2017-313,Single-Family Attached Unit,Owner,0,0,0,0,0,0,4,5/8/18 0:00,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,12,Demolished,R,
MOUNTAIN VIEW,SANTA CLARA,2018,158-06-043,158-06-043,864 Hope St.,,PL-2017-426,Single-Family Detached Unit,Owner,0,0,0,0,0,0,2,11/14/18 0:00,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,1,Demolished,O,
MOUNTAIN VIEW,SANTA CLARA,2018,"160-04-005, 160-04-006, 160-04-007, 160-04-008, 160-04-009","160-04-005, 160-04-006, 160-04-007, 160-04-008, 160-04-009",535 Walker Ave.,,PL-2017-283,Single-Family Attached Unit,Owner,0,0,0,0,0,0,2,6/12/18 0:00,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,56,Demolished,R,
MOUNTAIN VIEW,SANTA CLARA,2018,150-08-009,150-08-009,315-319 Sierra Vista Ave.,,PL-2018-077,Single-Family Attached Unit,Owner,0,0,0,0,0,0,8,9/11/18 0:00,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,7,Demolished,R,
MOUNTAIN VIEW,SANTA CLARA,2018,150-03-014,150-03-014,410-414 Sierra Vista Ave.,,PL-2017-116,Single-Family Attached Unit,Owner,0,0,0,0,0,0,3,6/19/18 0:00,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,11,Demolished,R,
MOUNTAIN VIEW,SANTA CLARA,2018,"116-14-028, 116-14-089, 116-14-094, 116-14-095, 116-14-098, 116-14-126, 116-14-136","116-14-028, 116-14-089, 116-14-094, 116-14-095, 116-14-098, 116-14-126, 116-14-136",1255 Pear Ave.,,PL-2017-380,5 or More Units Per Structure,Renter,0,0,0,0,0,0,635,10/23/18 0:00,635,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2018,197-40-001,197-40-001,349 Martens Ave.,,PL-2017-306,Single-Family Detached Unit,Owner,0,0,0,0,0,0,3,5/23/18 0:00,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,1,Demolished,,
MOUNTAIN VIEW,SANTA CLARA,2018,189-64-005,189-64-001 to -052,1101 W. El Camino Real,,245-13-R,5 or More Units Per Structure,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,5,0,0,0,0,0,46,5/18/18 0:00,51,,N,Y,,DB,,55,,,,
MOUNTAIN VIEW,SANTA CLARA,2018,"189-01-124, -125, -126, -127, -128, -133, -148, -152, -153","189-01-157, 189-01-158",801 W El Camino Real,,308-13-R,5 or More Units Per Structure,Renter,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,5,0,0,0,159,11/9/18 0:00,164,,N,Y,,INC,,55,,,,
MOUNTAIN VIEW,SANTA CLARA,2018,153-26-036 & -037; 153-28-051 & -052,"153-26-084, 153-28-090",100 Moffett Blvd,,258-11-R,5 or More Units Per Structure,Renter,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,6,0,0,0,129,11/8/18 0:00,135,,N,Y,,INC,,55,,,,
MOUNTAIN VIEW,SANTA CLARA,2018,"148-36-014, 148-36-025, 148-36-038",148-36-039,2268-2280 W. El Camino Real,,278-16-PCZA,5 or More Units Per Structure,Renter,0,0,0,0,0,0,0,,0,0,0,10,0,0,0,191,1/10/18 0:00,201,0,0,0,0,0,0,0,,0,,N,Y,,INC,,55,3,Demolished,O,
MOUNTAIN VIEW,SANTA CLARA,2018,"160-07-003, 160-07-004",160-85-001 to -035,133 & 149 Fairchild Ave,,133-14-PCZA,Single-Family Attached Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,2/2/18 0:00,2,,N,Y,,,,,33,Demolished,R,
MOUNTAIN VIEW,SANTA CLARA,2018,197-40-027,197-40-033 to -043,1991 Sun-Mor Ave.,,458-15-PUD,Single-Family Detached Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,10,6/13/18 0:00,10,,N,Y,,,,,1,Demolished,O,
MOUNTAIN VIEW,SANTA CLARA,2018,150-09-011,150-59-001 to -024,1968 Hackett Ave,,529-14-PUD,Single-Family Attached Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,8/16/18 0:00,3,,N,Y,,,,,21,Demolished,R,
MOUNTAIN VIEW,SANTA CLARA,2018,"150-09-017, 018 & 024",153-49-001 to -029,647 Sierra Vista Ave,,542-14-PUD,Single-Family Attached Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,12,11/29/18 0:00,12,,N,Y,,,,,15,Demolished,R,
MOUNTAIN VIEW,SANTA CLARA,2018,153-02-021,153-02-021,858 Sierra Vista Ave.,,263-13-PUD,Single-Family Detached Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,11/9/18 0:00,3,0,0,0,0,0,0,0,,0,,N,Y,,,,,1,Demolished,O,
MOUNTAIN VIEW,SANTA CLARA,2018,160-07-011Â to 160-07-013,160-07-011Â to 160-07-013,277 Fairchild Ave.,,064-14-PCZA,Single-Family Attached Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,24,10/19/18 0:00,24,0,0,0,0,0,0,0,,0,,N,Y,,,,,2,Demolished,O,
MOUNTAIN VIEW,SANTA CLARA,2018,160-61-056,160-61-056,"100, 420, 430 Ferguson Dr.",,144-14-PCZA,Single-Family Attached Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,46,1/23/18 0:00,46,0,0,0,0,0,0,121,9/18/18 0:00,121,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2018,148-33-026,148-33-032 to 148-33-057,2296 Mora Dr,,260-14-PCZA,Single-Family Attached Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,50,1/11/18 0:00,50,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2018,158-24-072,158-24-074,582 Hope St,,169-15-PCZA,5 or More Units Per Structure,Renter,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,12,10/19/18 0:00,12,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2018,160-16-044,160-84-001 to -037,450 N. Whisman Rd,,294-12-PUD,Single-Family Detached Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,13,8/29/18 0:00,13,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2018,"148-37-007, 148-37-008","148-38-159, 148-38-158",2206 & 2212 Leland Ave.,,322-13-SD,Single-Family Detached Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,7/10/18 0:00,2,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2018,"160-61-027, -048 to -050",160-86-001 to -016,400 Pacific Dr.,,39-13-PPA,Single-Family Detached Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,16,3/21/18 0:00,16,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2018,150-14-017,150-14-017,1898 San Ramon,,,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,4/25/18 0:00,1,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2018,170-07-025Â ,170-07-025Â ,1725 Pilgrim Ave,,,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,11/1/18 0:00,1,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2018,197-41-053 Â ,197-41-053 Â ,194 Carmelita Dr,,,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1/11/18 0:00,1,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2018,158-05-065 Â ,158-05-065 Â ,229 Church St,,,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,8/30/18 0:00,1,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2018,189-61-011Â ,189-61-011Â ,1103 Miramonte Ave,,,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,3/6/18 0:00,1,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2018,154-30-018Â ,154-30-018Â ,665 Palo Alto Ave.,,,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,11/2/18 0:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2018,153-20-009 Â ,153-20-009 Â ,832  San Lucas Ct.,,,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,10/30/18 0:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2018,158-13-012 Â ,158-13-012 Â ,260 Franklin St.,,,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,5/31/18 0:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2018,154-10-035 Â ,154-10-035 Â ,1585 Villa St.,,,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,5/10/18 0:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2018,158-09-025 Â ,158-09-025 Â ,550 Sierra Ave,,,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,3/7/18 0:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
MOUNTAIN VIEW,SANTA CLARA,2018,154-08-012Â ,154-08-012Â ,339 Pettis Ave.,,,Accessory Dwelling Unit,Owner,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,3/15/18 0:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
